mahretsu.neo	Mahjong Kyo Retsuden (NGM-004)(NGH-004)
matrimbl.neo	Matrimelee _ Shin Gouketsuji Ichizoku Toukon (bootleg) [Bootleg]
matrim.neo	Matrimelee _ Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660)
mslug.neo	Metal Slug - Super Vehicle-001
mslug2.neo	Metal Slug 2 - Super Vehicle-001_II (NGM-2410) (NGH-2410)
mslug2t.neo	Metal Slug 2 Turbo (NGM-9410) (hack)
mslug3h.neo	Metal Slug 3 (NGH-2560)
mslug3.neo	Metal Slug 3 (NGM-2560)
mslug3a.neo	Metal Slug 3 (NGM-2560, earlier)
mslug4h.neo	Metal Slug 4 (NGH-2630)
mslug4.neo	Metal Slug 4 (NGM-2630)
ms4plus.neo	Metal Slug 4 Plus (bootleg)
mslug5b.neo	Metal Slug 5 (bootleg, set 1)
mslug5h.neo	Metal Slug 5 (NGH-2680)
mslug5.neo	Metal Slug 5 (NGM-2680)
ms5plus.neo	Metal Slug 5 Plus (bootleg)
mslug3b6.neo	Metal Slug 6 (bootleg of Metal Slug 3)
mslugx.neo	Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500)
minasan.neo	Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001)
miexchng.neo	Money Puzzle Exchanger / Money Idol Exchanger
mutnat.neo	Mutation Nation (NGM-014)(NGH-014)
nam1975.neo	NAM-1975 (NGM-001)(NGH-001)
neobombe.neo	Neo Bomberman
neodrift.neo	Neo Drift Out - New Technology
neomrdo.neo	Neo Mr. Do!
turfmast.neo	Neo Turf Masters / Big Tournament Golf
neocup98.neo	Neo-Geo Cup '98 - The Road to the Victory
nitdbl.neo	Nightmare in the Dark (bootleg)
nitd.neo	Nightmare in the Dark
ncombath.neo	Ninja Combat (NGH-009)
ncombat.neo	Ninja Combat (NGM-009)
ncommand.neo	Ninja Commando
ninjamas.neo	Ninja Master's - Haoh-ninpo-cho
overtop.neo	Over Top
samsho4k.neo	Pae Wang Jeon Seol / Legend of a Warrior (Korean censored Samurai Shodown IV)
panicbom.neo	Panic Bomber
pgoal.neo	Pleasure Goal / Futsal - 5 on 5 Mini Soccer (NGM-219)
pnyaaa.neo	Pochi and Nyaa (Ver 2.00)
pnyaa.neo	Pochi and Nyaa (Ver 2.02)
popbounc.neo	Pop 'n Bounce / Gapporin
pspikes2.neo	Power Spikes II (NGM-068)
preisle2.neo	Prehistoric Isle 2
pulstar.neo	Pulstar
pbobblenb.neo	Puzzle Bobble _ Bust-A-Move (Neo-Geo) (bootleg) [Bootleg]
pbobblen.neo	Puzzle Bobble _ Bust-A-Move (Neo-Geo) (NGM-083)
pbobbl2n.neo	Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo)
puzzldpr.neo	Puzzle De Pon! R!
puzzledp.neo	Puzzle De Pon!
joyjoy.neo	Puzzled / Joy Joy Kid (NGM-021)(NGH-021)
quizdais.neo	Quiz Daisousa Sen - The Last Count Down (NGM-023)(NGH-023)
quizkofk.neo	Quiz King of Fighters (Korea)
quizkof.neo	Quiz King of Fighters (SAM-080)(SAH-080)
quizdai2.neo	Quiz Meitantei Neo & Geo - Quiz Daisousa Sen part 2 (NGM-042)(NGH-042)
quizdaisk.neo	Quiz Salibtamjeong - The Last Count Down (Korean localized Quiz Daisousa Sen)
rotdh.neo	Rage of the Dragons (NGM-264_)
rotd.neo	Rage of the Dragons (NGM-2640)
ragnagrd.neo	Ragnagard / Shin-Oh-Ken
rbff1a.neo	Real Bout Fatal Fury / Real Bout Garou Densetsu (bug fix revision)
rbff1k.neo	Real Bout Fatal Fury / Real Bout Garou Densetsu (Korean release)
rbff1ka.neo	Real Bout Fatal Fury / Real Bout Garou Densetsu (Korean release, bug fix revision)
rbff1.neo	Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095)(NGH-095)
rbff2k.neo	Real Bout Fatal Fury 2 - The Newcomers (Korean release)
rbff2h.neo	Real Bout Fatal Fury 2 - The Newcomers _ Real Bout Garou Densetsu 2 - the newcomers (NGH-2400)
rbff2.neo	Real Bout Fatal Fury 2 - The Newcomers _ Real Bout Garou Densetsu 2 - the newcomers (NGM-2400)
rbffspeck.neo	Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special (Korean release)
rbffspec.neo	Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special
ridhero.neo	Riding Hero (NGM-006)(NGH-006)
ridheroh.neo	Riding Hero (set 2)
roboarmya.neo	Robo Army (NGM-032)(NGH-032)
roboarmy.neo	Robo Army (set 1)
samshoh.neo	Samurai Shodown / Samurai Spirits (NGH-045)
samsho.neo	Samurai Shodown / Samurai Spirits (NGM-045)
samsho2.neo	Samurai Shodown II _ Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063)
