aburner2g.zip	After Burner II (German)
aoh.zip	Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07)
superbon.zip	Agent Super Bond (scobra hardware)
agentx1.zip	Agent X (prototype, rev 1)
agentx2.zip	Agent X (prototype, rev 2)
agentx3.zip	Agent X (prototype, rev 3)
agentx4.zip	Agent X (prototype, rev 4)
aodk.zip	Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008)
agress.zip	Agress
agressb.zip	Agress (English bootleg)
koshien.zip	Ah Eikou no Koshien (Japan)
airass.zip	Air Assault (World)
airattck.zip	Air Attack (set 1)
airattcka.zip	Air Attack (set 2)
airbustrj.zip	Air Buster: Trouble Specialty Raid Unit (Japan)
airbustr.zip	Air Buster: Trouble Specialty Raid Unit (World)
airbustrb.zip	Air Buster: Trouble Specialty Raid Unit (bootleg)
airdueljm72.zip	Air Duel (Japan, M72 hardware)
airduelu.zip	Air Duel (US location test, M82 hardware)
airduelm72.zip	Air Duel (World, M72 hardware)
airduel.zip	Air Duel (World, M82 hardware)
agallet.zip	Air Gallet (Europe)
agalleth.zip	Air Gallet (Hong Kong)
agalletk.zip	Air Gallet (Korea)
agallett.zip	Air Gallet (Taiwan)
agalletu.zip	Air Gallet (USA)
agalleta.zip	Air Gallet (older, Europe)
agalletah.zip	Air Gallet (older, Hong Kong)
agalletak.zip	Air Gallet (older, Korea)
agalletat.zip	Air Gallet (older, Taiwan)
agalletau.zip	Air Gallet (older, USA)
arescuej.zip	Air Rescue (Japan)
arescueu.zip	Air Rescue (US)
arescue.zip	Air Rescue (World)
airwolf.zip	Airwolf
airwolfa.zip	Airwolf (US)
ajax.zip	Ajax
ajaxj.zip	Ajax (Japan)
akkaarrh.zip	Akka Arrh (prototype)
akkanvdr.zip	Akkanbeder (Ver 2.5J 1995/06/14)
akumajoun.zip	Akuma-Jou Dracula (Japan ver. N)
akumajou.zip	Akuma-Jou Dracula (Japan ver. P)
agalletj.zip	Akuu Gallet (Japan)
agalletaj.zip	Akuu Gallet (older, Japan)
alcon.zip	Alcon (US)
alexkidd1.zip	Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)
alexkidd.zip	Alex Kidd: The Lost Stars (set 2, unprotected)
alibaba.zip	Ali Baba and 40 Thieves
alienar.zip	Alien Arena
alienaru.zip	Alien Arena (Stargate upgrade)
aa.zip	Alien Armada
alienchac.zip	Alien Challenge (China)
aliencha.zip	Alien Challenge (World)
alinvade.zip	Alien Invaders
alienres.zip	Alien Rescue (Homebrew, Test Build July 2019)
aliensec.zip	Alien Sector
astormjd.zip	Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted)
astormj.zip	Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146)
astormud.zip	Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted)
astormu.zip	Alien Storm (set 2, US, 3 Players, FD1094 317-0147)
astorm3d.zip	Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted)
astorm3.zip	Alien Storm (set 3, World, 3 Players, FD1094 317-0148)
astorm.zip	Alien Storm (set 4, World, 2 Players, FD1094 317-0154)
aliensynjo.zip	Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)
aliensyn2.zip	Alien Syndrome (set 2, System 16A, FD1089A 317-0033)
aliensyn3.zip	Alien Syndrome (set 3, System 16B, FD1089A 317-0033)
aliensyn.zip	Alien Syndrome (set 4, System 16B, unprotected)
aliensyn5.zip	Alien Syndrome (set 5, System 16A, FD1089B 317-0037)
aliensynj.zip	Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)
aliensyn7.zip	Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)
avspa.zip	Alien vs Predator (940520 Asia)
avspd.zip	Alien vs Predator (940520 Euro Phoenix Edition)
avsp.zip	Alien vs Predator (940520 Euro)
avsph.zip	Alien vs Predator (940520 Hispanic)
avspj.zip	Alien vs Predator (940520 Japan)
avspu.zip	Alien vs Predator (940520 USA)
alien3j.zip	Alien3: The Gun (Japan)
alien3u.zip	Alien3: The Gun (US, Rev A)
alien3.zip	Alien3: The Gun (World)
aliensa.zip	Aliens (Asia)
aliensj.zip	Aliens (Japan set 1)
aliensj2.zip	Aliens (Japan set 2)
aliensu.zip	Aliens (US set 1)
aliensu2.zip	Aliens (US set 2)
aliens.zip	Aliens (World set 1)
aliens2.zip	Aliens (World set 2)
aliens3.zip	Aliens (World set 3)
aliens4.zip	Aliens (World set 4)
aligators.zip	Alligator Hunt (Spain, protected)
aligator.zip	Alligator Hunt (World, protected)
aligatorun.zip	Alligator Hunt (unprotected, set 1)
aligatoruna.zip	Alligator Hunt (unprotected, set 2)
alphamis.zip	Alpha Mission
alpham2.zip	Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007)
alpham2p.zip	Alpha Mission II / ASO II - Last Guardian (prototype)
alpha1v.zip	Alpha One (Vision Electronics)
alphaone.zip	Alpha One (prototype, 3 lives)
alphaonea.zip	Alpha One (prototype, 5 lives)
alpine.zip	Alpine Ski (set 1)
alpinea.zip	Alpine Ski (set 2)
altbeast2.zip	Altered Beast (set 2, MC-8123B 317-0066)
altbeast4.zip	Altered Beast (set 4, MC-8123B 317-0066)
altbeast5d.zip	Altered Beast (set 5, FD1094 317-0069 decrypted)
altbeast5.zip	Altered Beast (set 5, FD1094 317-0069)
altbeast6.zip	Altered Beast (set 6, 8751 317-0076)
altbeast.zip	Altered Beast (set 8, 8751 317-0078)
ambush.zip	Ambush
ambushj.zip	Ambush (Japan)
ambushv.zip	Ambush (Volt Elec co-ltd)
ambushh.zip	Ambush (hack?)
anteaterg.zip	Ameisenbaer (German)
horshoes.zip	American Horseshoes (US)
amspdwy.zip	American Speedway (set 1)
amspdwya.zip	American Speedway (set 2)
amidar.zip	Amidar
amidaro.zip	Amidar (Olympia)
amidars.zip	Amidar (Scramble hardware)
amidaru.zip	Amidar (Stern)
amidarb.zip	Amidar (bootleg)
amidar1.zip	Amidar (older)
amigo.zip	Amigo
androdun.zip	Andro Dunos (NGM-049)(NGH-049)
androidpo.zip	Android (prototype, early build)
androidp.zip	Android (prototype, later build)
angelkds.zip	Angel Kids (Japan)
cadanglr.zip	Angler Dangler (DECO Cassette) (US)
anteater.zip	Anteater
aponow.zip	Apocaljpse Now
appoooh.zip	Appoooh
aquajackj.zip	Aquajack (Japan)
aquajacku.zip	Aquajack (US)
aquajack.zip	Aquajack (World)
aquariumj.zip	Aquarium (Japan)
aquarium.zip	Aquarium (US)
arabian.zip	Arabian
arabiana.zip	Arabian (Atari)
arabfgtj.zip	Arabian Fight (Japan)
arabfgtu.zip	Arabian Fight (US)
arabfgt.zip	Arabian Fight (World)
arabianmu.zip	Arabian Magic (Ver 1.0A 1992/07/06)
arabianmj.zip	Arabian Magic (Ver 1.0J 1992/07/06)
arabianm.zip	Arabian Magic (Ver 1.0O 1992/07/06)
aracnis.zip	Aracnis (bootleg of Scorpion on Moon Cresta hardware)
arbalest.zip	Arbalester
arcadecl.zip	Arcade Classics (prototype)
arcadian.zip	Arcadia (NMK)
area88r.zip	Area 88 (Japan Resale ver.)
area88.zip	Area 88 (Japan)
lwingsj.zip	Ares no Tsubasa (Japan)
lwingsja.zip	Ares no Tsubasa (Japan, rev. A)
argus.zip	Argus
argusg.zip	Argus (Gottlieb, prototype)
rygarj.zip	Argus no Senshi (Japan)
arian.zip	Arian Mission
arkarea.zip	Ark Area
arkangc.zip	Arkanoid (Game Corporation bootleg, set 1)
arkangc2.zip	Arkanoid (Game Corporation bootleg, set 2)
arkanoidj.zip	Arkanoid (Japan)
arkanoidja.zip	Arkanoid (Japan, older rev)
arkanoidjb.zip	Arkanoid (Japan, oldest rev)
arkatayt.zip	Arkanoid (Tayto bootleg)
arktayt2.zip	Arkanoid (Tayto bootleg, harder)
arkanoidu.zip	Arkanoid (US)
arkanoiduo.zip	Arkanoid (US, oldest rev)
arkanoid.zip	Arkanoid (World, oldest rev)
arkgcbl.zip	Arkanoid (bootleg on Block hardware)
arkanoidjbl.zip	Arkanoid (bootleg with MCU set 1)
arkanoidjbl2.zip	Arkanoid (bootleg with MCU set 2)
arkanoidjbla.zip	Arkanoid (bootleg with MCU, alt)
ark1ball.zip	Arkanoid (bootleg with MCU, harder)
ark1balla.zip	Arkanoid (bootleg with MCU, harder, alt)
arknoid2b.zip	Arkanoid - Revenge of DOH (Japan bootleg)
arknoid2j.zip	Arkanoid - Revenge of DOH (Japan)
arknoid2u.zip	Arkanoid - Revenge of DOH (US)
arknoid2.zip	Arkanoid - Revenge of DOH (World)
arkretrnu.zip	Arkanoid Returns (Ver 2.02A 1997/02/10)
arkretrnj.zip	Arkanoid Returns (Ver 2.02J 1997/02/10)
arkretrn.zip	Arkanoid Returns (Ver 2.02O 1997/02/10)
armchmp2o.zip	Arm Champs II v1.7
armchmp2o2.zip	Arm Champs II v2.6
armchmp2.zip	Arm Champs II v2.7
armwrest.zip	Arm Wrestling
armedf.zip	Armed Formation
armedff.zip	Armed Formation (Fillmore license)
batriderc.zip	Armed Police Batrider (China) (Fri Feb 13 1998)
batrider.zip	Armed Police Batrider (Europe) (Fri Feb 13 1998)
