005.zip	005
gtmr2u.zip	Great 1000 Miles Rally 2 USA (95/05/18)
gtmra.zip	1000 Miglia: Great 1000 Miles Rally (94/06/13)
gtmre.zip	Great 1000 Miles Rally: Evolution Model!!! (94/09/06)
gtmrusa.zip	Great 1000 Miles Rally: U.S.A Version! (94/09/06)
gtrfrk2m.zip	Guitar Freaks 2nd Mix Ver 1.01 (GQ883 VER. JAD)
gtrfrk4m.zip	Guitar Freaks 4th Mix (G*A24 VER. JAA)
gtrfrk5m.zip	Guitar Freaks 5th Mix (G*A26 VER. JAA)
gtrfrk6m.zip	Guitar Freaks 6th Mix (G*B06 VER. JAA)
gtrfrk7m.zip	Guitar Freaks 7th Mix (G*B17 VER. JAA)
gtrfrks.zip	Guitar Freaks (GQ886 VER. EAC)
gtrfrksa.zip	Guitar Freaks (GQ886 VER. AAC)
gtrfrksj.zip	Guitar Freaks (GQ886 VER. JAC)
gtrfrksu.zip	Guitar Freaks (GQ886 VER. UAC)
gtroyal.zip	Golden Tee Royal Edition Tournament (v4.02)
gtsers1.zip	Trivia (Questions Series 1)
gtsers10.zip	Trivia (Questions Series 10)
gtsers11.zip	Trivia (Questions Series 11)
gtsers2.zip	Trivia (Questions Series 2)
gtsers3.zip	Trivia (Questions Series 3)
gtsers4.zip	Trivia (Questions Series 4)
gtsers5.zip	Trivia (Questions Series 5)
gtsers7.zip	Trivia (Questions Series 7)
gtsers8.zip	Trivia (Questions Series 8)
gtsers9.zip	Trivia (Questions Series 9)
gtsersa.zip	Trivia (Alt revision questions set 1)
gtsersb.zip	Trivia (Alt revision questions set 2)
gtstarb1.zip	Get Star (bootleg set 1)
gtstarb2.zip	Get Star (bootleg set 2)
gtsuprem.zip	Golden Tee Supreme Edition Tournament (v5.10)
guab.zip	Give us a Break (3rd edition)
guab21.zip	Give us a Break (21st edition)
guab3a.zip	Give us a Break (3rd edition alt?)
guab4.zip	Give us a Break (4th edition)
guab43.zip	Give us a Break (43rd edition)
guab6.zip	Give us a Break (6th edition)
guab6a.zip	Give us a Break (6th edition alt?)
guab7.zip	Give us a Break (7th edition)
guardian.zip	Guardians of the 'Hood
guiness.zip	The Guiness (Japan)
gulfstrm.zip	Gulf Storm
gulfstrmm.zip	Gulf Storm (Media Shoji)
gulfwar2.zip	Gulf War II
gumbo.zip	Gumbo
gunball.zip	Gun Ball (Japan)
gunbird.zip	Gunbird (World)
gunbird2.zip	Gunbird 2
gunbirdj.zip	Gunbird (Japan)
gunbirdk.zip	Gunbird (Korea)
gunblade.zip	Gunblade NY (Revision A)
gunbuletj.zip	Gun Bullet (Japan, GN1)
gunbuletw.zip	Gun Bullet (World, GN3 Rev B)
gunbustr.zip	Gunbuster (Japan)
gundamex.zip	Mobile Suit Gundam EX Revue
gundamos.zip	Gundam Battle Operating Simulator (GDX-0013)
gundealr.zip	Gun Dealer
gundealra.zip	Gun Dealer (Alt Card Set)
gundealrt.zip	Gun Dealer (Korea)
gundhara.zip	Gundhara
gundl94.zip	Gun Dealer '94
gundmgd.zip	Mobile Suit Gundam: Federation VS Zeon (GDL-0001)
gundmxgd.zip	Mobile Suit Gundam: Federation VS Zeon DX  (GDL-0006)
gunfight.zip	Gun Fight
gunforc2.zip	Gunforce 2 (US)
gunforce.zip	Gunforce - Battle Fire Engulfed Terror Island (World)
gunforcej.zip	Gunforce - Battle Fire Engulfed Terror Island (Japan)
gunforceu.zip	Gunforce - Battle Fire Engulfed Terror Island (US)
gunfront.zip	Gun _ Frontier (World)
gunfrontj.zip	Gun Frontier (Japan)
gunhohki.zip	Gun Hohki (Japan)
gunlock.zip	Gunlock (Ver 2.3O 1994/01/20)
gunmast.zip	Gun Master
gunnail.zip	GunNail (28th May. 1992)
gunpey.zip	Gunpey
gunsmoke.zip	Gun.Smoke (World)
gunsmokej.zip	Gun.Smoke (Japan)
gunsmokeu.zip	Gun.Smoke (US set 1)
gunsmokeua.zip	Gun.Smoke (US set 2)
gunsur2.zip	Gun Survivor 2: Bio Hazard Code Veronica
gunwars.zip	Gunmen Wars (GM1 Ver. A)
gururin.zip	Gururin
gussun.zip	Gussun Oyoyo (Japan)
gutangtn.zip	Guttang Gottong
guts.zip	Guts n' Glory (prototype)
gutsn.zip	Guts'n (Japan)
guwange.zip	Guwange (Japan, Master Ver. 99/06/24)
guzzler.zip	Guzzler
gwar.zip	Guerrilla War (US)
gwara.zip	Guerrilla War (Version 1)
gwarb.zip	Guerrilla War (Joystick hack bootleg)
gwarj.zip	Guevara (Japan)
gwarrior.zip	Galactic Warriors
gwing2.zip	Giga Wing 2 (JPN, USA, EXP, KOR, AUS)
gwingjd.zip	Giga Wing (Japan 990223 Phoenix Edition) (bootleg)
gypsyjug.zip	Gypsy Juggler
gyrodine.zip	Gyrodine
gyrodinet.zip	Gyrodine (Taito Corporation license)
gyruss.zip	Gyruss (Konami)
gyrussce.zip	Gyruss (Centuri)
hachamf.zip	Hacha Mecha Fighter (19th Sep. 1991)
hachoo.zip	Hachoo!
hal21.zip	HAL21
hal21j.zip	HAL21 (Japan)
halley87.zip	Halley's Comet '87
halleycj.zip	Halley's Comet (Japan, Older)
halleys.zip	Halley's Comet (US)
halleysc.zip	Halley's Comet (Japan, Newer)
hammer.zip	Hammer
hanaawas.zip	Hana Awase
hanagumi.zip	Hanagumi Taisen Columns - Sakura Wars (J 971007 V1.010)
hanakanz.zip	Hana Kanzashi (Japan)
hanamai.zip	Hana no Mai (Japan)
hanamomb.zip	Mahjong Hana no Momoko gumi (Japan 881125)
hanamomo.zip	Mahjong Hana no Momoko gumi (Japan 881201)
hanaoji.zip	Hana to Ojisan [BET] (Japan 911209)
hanaroku.zip	Hanaroku
hanayara.zip	Hana wo Yaraneba! (Japan)
hangly.zip	Hangly-Man (set 1)
hangly2.zip	Hangly-Man (set 2)
hangly3.zip	Hangly-Man (set 3)
hangman.zip	Hangman
hangon.zip	Hang-On (Rev A)
hangon1.zip	Hang-On
hangonjr.zip	Hang-On Jr.
hangplt.zip	Hang Pilot
happy6.zip	Happy 6-in-1 (ver. 101CN)
hapytour.zip	Happy Tour
harddriv.zip	Hard Drivin' (cockpit, rev 7)
harddriv1.zip	Hard Drivin' (cockpit, rev 1)
harddriv2.zip	Hard Drivin' (cockpit, rev 2)
harddriv3.zip	Hard Drivin' (cockpit, rev 3)
harddrivb.zip	Hard Drivin' (cockpit, British, rev 7)
harddrivb5.zip	Hard Drivin' (cockpit, British, rev 5)
harddrivb6.zip	Hard Drivin' (cockpit, British, rev 6)
harddrivc.zip	Hard Drivin' (compact, rev 2)
harddrivc1.zip	Hard Drivin' (compact, rev 1)
harddrivcb.zip	Hard Drivin' (compact, British, rev 2)
harddrivcg.zip	Hard Drivin' (compact, German, rev 2)
harddrivg.zip	Hard Drivin' (cockpit, German, rev 7)
harddrivg4.zip	Hard Drivin' (cockpit, German, rev 4)
harddrivj.zip	Hard Drivin' (cockpit, Japan, rev 7)
harddrivj6.zip	Hard Drivin' (cockpit, Japan, rev 6)
harddunk.zip	Hard Dunk (World)
harddunkj.zip	Hard Dunk (Japan)
hardhat.zip	Hard Hat
hardhea2.zip	Hard Head 2 (v2.0)
hardhead.zip	Hard Head
hardheadb.zip	Hard Head (bootleg)
hardyard.zip	Hard Yardage (v1.20)
hardyard10.zip	Hard Yardage (v1.00)
harem.zip	Harem
harley.zip	Harley-Davidson and L.A. Riders (Revision A)
hasamu.zip	Hasamu (Japan)
hatena.zip	Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan 900228)
hatris.zip	Hatris (US)
hatrisj.zip	Hatris (Japan)
hattrick.zip	Hat Trick
hayaosi1.zip	Hayaoshi Quiz Ouza Ketteisen - The King Of Quiz
hayaosi2.zip	Hayaoshi Quiz Grand Champion Taikai
hayaosi3.zip	Hayaoshi Quiz Nettou Namahousou
hbarrel.zip	Heavy Barrel (US)
hbarrelw.zip	Heavy Barrel (World)
hcastle.zip	Haunted Castle (version M)
hcastlej.zip	Akuma-Jou Dracula (Japan version P)
hcastleo.zip	Haunted Castle (version K)
hcastljo.zip	Akuma-Jou Dracula (Japan version N)
hcrash.zip	Hyper Crash (version D)
hcrashc.zip	Hyper Crash (version C)
hdrivair.zip	Hard Drivin's Airborne (prototype)
hdrivairp.zip	Hard Drivin's Airborne (prototype, early rev)
headon.zip	Head On (2 players)
headon2.zip	Head On 2
headon2s.zip	Head On 2 (Sidam bootleg)
headonb.zip	Head On (1 player)
headoni.zip	Head On (Irem, M-15 Hardware)
headons.zip	Head On (Sidam bootleg, set 1)
headonsa.zip	Head On (Sidam bootleg, set 2)
heartatk.zip	Heart Attack
heatbrl.zip	Heated Barrel (World version 3)
heatbrl2.zip	Heated Barrel (World version 2)
heatbrlo.zip	Heated Barrel (World old version)
heatbrlu.zip	Heated Barrel (US)
heatof11.zip	Heat of Eleven '98 (ver EAA)
heberpop.zip	Hebereke no Popoon (Japan)
hedpanic.zip	Head Panic (ver. 0117, 17/01/2000)
hedpanicf.zip	Head Panic (ver. 0315, 15/03/2000)
hedpanico.zip	Head Panic (ver. 0615, 15/06/1999)
heiankyo.zip	Heiankyo Alien
helifire.zip	HeliFire (set 1)
helifirea.zip	HeliFire (set 2)
hellfire.zip	Hellfire (2P Ver.)
hellfire1.zip	Hellfire (1P Ver.)
hellfire2.zip	Hellfire (2P Ver., first edition)
hellfire3.zip	Hellfire (1P Ver., alt)
herbiedk.zip	Herbie at the Olympics (DK conversion)
hero.zip	Hero
herodk.zip	Hero in the Castle of Doom (DK conversion)
herodku.zip	Hero in the Castle of Doom (DK conversion not encrypted)
heuksun.zip	Heuk Sun Baek Sa (Korea)
hexa.zip	Hexa
hexion.zip	Hexion (Japan)
hexpool.zip	Hex Pool (Shinkai)
hexpoola.zip	Hex Pool (Senko)
hginga.zip	Hanafuda Hana Ginga
hgkairak.zip	Taisen Hot Gimmick Kairakuten (Japan)
hgokou.zip	Hanafuda Hana Gokou (Japan)
hharry.zip	Hammerin' Harry (World)
hharryu.zip	Hammerin' Harry (US)
hidctch2.zip	Hidden Catch 2 (pcb ver 3.03)
hidctch3.zip	Hidden Catch 3 (ver 1.00 / pcb ver 3.05)
hidnctch.zip	Hidden Catch (World) / Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.03)
higemaru.zip	Pirate Ship Higemaru
highsplt.zip	Space Fever High Splitter (set 1)
highsplta.zip	Space Fever High Splitter (set 2)
highspltb.zip	Space Fever High Splitter (alt Sound)
hiimpact.zip	High Impact Football (rev LA5 02/15/91)
hiimpact1.zip	High Impact Football (rev LA1 12/16/90)
hiimpact2.zip	High Impact Football (rev LA2 12/26/90)
hiimpact3.zip	High Impact Football (rev LA3 12/27/90)
hiimpact4.zip	High Impact Football (rev LA4 02/04/91)
hiimpactp.zip	High Impact Football (prototype, rev 8.6 12/09/90)
himesiki.zip	Himeshikibu (Japan)
hipai.zip	Hi Pai Paradise
hippodrm.zip	Hippodrome (US)
hiryuken.zip	Hokuha Syourin Hiryu no Ken
hishouza.zip	Hishou Zame (Japan)
histryma.zip	The History of Martial Arts
hitice.zip	Hit the Ice (US)
hiticej.zip	Hit the Ice (Japan)
hitme.zip	Hit Me
hitnmiss.zip	Hit 'n Miss (version 3.0)
hitnmiss2.zip	Hit 'n Miss (version 2.0)
hitpoker.zip	Hit Poker (Bulgaria)
hjingi.zip	Hana Jingi (Japan, Bet)
hkagerou.zip	Hana Kagerou [BET] (Japan)
hldspin1.zip	Hold _ Spin I (Version 2.7T, set 1)
hldspin1dt.zip	Hold _ Spin I (Version 2.7T, set 2)
hldspin1o.zip	Hold _ Spin I (Version 2.5T)
hldspin1vt.zip	Hold _ Spin I (Version 2.7T Dual)
hldspin2.zip	Hold _ Spin II (Version 2.8R, set 1)
hldspin2d1.zip	Hold _ Spin II (Version 2.8R, set 2)
hldspin2o.zip	Hold _ Spin II (Version 2.6)
hldspin2v1.zip	Hold _ Spin II (Version 2.8R Dual)
hmcompm2.zip	hiphopmania complete MIX 2 (ver UA-A)
hmcompmx.zip	hiphopmania complete MIX (ver UA-B)
hmgeo.zip	Heavy Metal Geomatrix (JPN, USA, EUR, ASI, AUS) (Rev A)
hnageman.zip	AV Hanafuda Hana no Ageman (Japan 900716)
hnayayoi.zip	Hana Yayoi (Japan)
hncholms.zip	Hunchback Olympic (Scramble hardware)
hnfubuki.zip	Hana Fubuki [BET] (Japan)
hngmnjpm.zip	Hangman (JPM)
hnkochou.zip	Hana Kochou (Japan, Bet)
hnoridur.zip	Hana Oriduru (Japan)
hnxmasev.zip	AV Hanafuda Hana no Christmas Eve (Japan 901204)
hoccer.zip	Hoccer (set 1)
hoccer2.zip	Hoccer (set 2)
hogalley.zip	Vs. Hogan's Alley
holeland.zip	Hole Land
holo.zip	Holosseum (US)
homerun.zip	Moero Pro Yakyuu Homerun
homo.zip	Homo
honeydol.zip	Honey Dolls
hook.zip	Hook (World)
hookj.zip	Hook (Japan)
hooku.zip	Hook (US)
hoops95.zip	Hoops (Europe/Asia 1.7)
hoops96.zip	Hoops '96 (Europe/Asia 2.0)
hopmappy.zip	Hopping Mappy
hopprobo.zip	Hopper Robo
horekid.zip	Kid no Hore Hore Daisakusen
horekidb.zip	Kid no Hore Hore Daisakusen (bootleg)
horizon.zip	Horizon
horshoes.zip	American Horseshoes (US)
hotblock.zip	Hot Blocks - Tetrix II
hotbubl.zip	Hot Bubble
hotchase.zip	Hot Chase
hotd.zip	House of the Dead
hotd2.zip	House of the Dead 2
hotd2o.zip	House of the Dead 2 (original)
hotd3.zip	The House of the Dead III (GDX-0001)
hotdebut.zip	Quiz de Idol! Hot Debut (Japan)
hotdogst.zip	Hotdog Storm (International)
hotgm4ev.zip	Taisen Hot Gimmick 4 Ever (Japan)
hotgmck.zip	Taisen Hot Gimmick (Japan)
hotgmck3.zip	Taisen Hot Gimmick 3 Digital Surfing (Japan)
hotgmcki.zip	Mahjong Hot Gimmick Integral (Japan)
hotmemry.zip	Hot Memory (V1.2, Germany)
hotmind.zip	Hot Mind
hotminda.zip	Hot Mind (adjustable prize)
hotpinbl.zip	Hot Pinball
hotrod.zip	Hot Rod (World, 3 Players, Turbo set 1, Floppy Based)
hotroda.zip	Hot Rod (World, 3 Players, Turbo set 2, Floppy Based)
hotrodj.zip	Hot Rod (Japan, 4 Players, Floppy Based)
hotshock.zip	Hot Shocker
hotshockb.zip	Hot Shocker (bootleg)
hotslot.zip	Hot Slot (ver. 05.01)
hotsmash.zip	Vs. Hot Smash
hourouki.zip	Mahjong Hourouki Part 1 - Seisyun Hen (Japan)
housemn2.zip	House Mannequin Roppongi Live hen (Japan 870418)
housemnq.zip	House Mannequin (Japan 870217)
hparadis.zip	Super Hana Paradise (Japan)
hpolym84.zip	Hyper Olympic '84
hpuncher.zip	Hard Puncher (Japan)
hrdtimes.zip	Hard Times (set 1)
hrdtimesa.zip	Hard Times (set 2)
hsf2.zip	Hyper Street Fighter 2: The Anniversary Edition (USA 040202)
hsf2a.zip	Hyper Street Fighter 2: The Anniversary Edition (Asia 040202)
hsf2d.zip	Hyper Street Fighter II: The Anniversary Edition (Asia 040202 Phoenix Edition) (bootleg)
hsf2j.zip	Hyper Street Fighter 2: The Anniversary Edition (Japan 031222)
hshavoc.zip	High Seas Havoc
hstennis.zip	Hot Shots Tennis (V1.1)
hstennis10.zip	Hot Shots Tennis (V1.0)
htchctch.zip	Hatch Catch
htengoku.zip	Hanafuda Hana Tengoku (Japan)
hthero.zip	Hat Trick Hero (Japan)
hthero93.zip	Hat Trick Hero '93 (Ver 1.0J 1993/02/28)
hthero94.zip	Hat Trick Hero '94 (Ver 2.2A 1994/05/26)
hthero95.zip	Hat Trick Hero '95 (Ver 2.5J 1994/11/03)
hthero95u.zip	Hat Trick Hero '95 (Ver 2.5A 1994/11/03)
hunchbak.zip	Hunchback (set 1)
hunchbaka.zip	Hunchback (set 2)
hunchbkd.zip	Hunchback (DK conversion)
hunchbkg.zip	Hunchback (Galaxian hardware)
hunchbks.zip	Hunchback (Scramble hardware)
huncholy.zip	Hunchback Olympic
hustle.zip	Hustle
hustler.zip	Video Hustler
hustlerb.zip	Video Hustler (bootleg)
hustlerb2.zip	Fatsy Gambler (Video Hustler bootleg)
hvnsgate.zip	Heaven's Gate
hvoltage.zip	High Voltage
hvymetal.zip	Heavy Metal (315-5135)
hvysmsh.zip	Heavy Smash (Europe version -2)
hvysmsha.zip	Heavy Smash (Asia version -4)
hvysmshj.zip	Heavy Smash (Japan version -2)
hvyunit.zip	Heavy Unit (World)
hvyunitj.zip	Heavy Unit (Japan, Newer)
hvyunito.zip	Heavy Unit (Japan, Older)
hwchamp.zip	Heavyweight Champ
hwchampj.zip	Heavyweight Champ (Japan, FD1094 317-0046)
hwrace.zip	High Way Race
hydra.zip	Hydra
hydrap.zip	Hydra (prototype 5/14/90)
hydrap2.zip	Hydra (prototype 5/25/90)
hyhoo.zip	Taisen Quiz HYHOO (Japan)
hyhoo2.zip	Taisen Quiz HYHOO 2 (Japan)
hyouban.zip	Mahjong Hyouban Musume [BET] (Japan)
hyperath.zip	Hyper Athlete (GV021 Japan 1.00)
hyperbbc.zip	Hyper Bishi Bashi Champ (GX908 1999/08/24 VER. JAA)
hyperbbck.zip	Hyper Bishi Bashi Champ (GX908 1999/08/24 VER. KAA)
hyperpac.zip	Hyper Pacman
hyperpacb.zip	Hyper Pacman (bootleg)
hyperspt.zip	Hyper Sports
hypersptb.zip	Hyper Sports (bootleg)
hyprdriv.zip	Hyperdrive
hyprduel.zip	Hyper Duel (Japan set 1)
hyprduel2.zip	Hyper Duel (Japan set 2)
hypreac2.zip	Mahjong Hyper Reaction 2 (Japan)
hypreact.zip	Mahjong Hyper Reaction (Japan)
hyprolym.zip	Hyper Olympic
hyprolymb.zip	Hyper Olympic (bootleg)
hypsptsp.zip	Hyper Sports Special (Japan)
iceclimb.zip	Vs. Ice Climber
iceclimbj.zip	Vs. Ice Climber (Japan)
iceclmrj.zip	Vs. Ice Climber Dual (Japan)
ichir.zip	Puzzle _ Action: Ichidant-R (World)
ichirj.zip	Puzzle _ Action: Ichidant-R (Japan)
ichirjbl.zip	Puzzle _ Action: Ichidant-R (Japan) (bootleg)
ichirk.zip	Puzzle _ Action: Ichidant-R (Korea)
idhimitu.zip	Idol no Himitsu [BET] (Japan 890304)
idolmj.zip	Idol-Mahjong Housoukyoku (Japan)
idsoccer.zip	Indoor Soccer (set 1)
idsoccera.zip	Indoor Soccer (set 2)
iemoto.zip	Iemoto (Japan 871020)
iemotom.zip	Iemoto [BET] (Japan 871118)
iganinju.zip	Iga Ninjyutsuden (Japan)
igmo.zip	IGMO
igs_ncs.zip	New Champion Skill (v100n)
igs_ncs2.zip	New Champion Skill (v100n 2000)
ikari.zip	Ikari Warriors (US JAMMA)
ikari3.zip	Ikari III - The Rescue (Rotary Joystick)
ikari3nr.zip	Ikari III - The Rescue (8-Way Joystick)
ikaria.zip	Ikari Warriors (US)
ikarijp.zip	Ikari (Japan No Continues)
ikarijpb.zip	Ikari (Joystick hack bootleg)
ikarinc.zip	Ikari Warriors (US No Continues)
ikaruga.zip	Ikaruga (GDL-0010)
ikki.zip	Ikki (Japan)
ilpag.zip	Il Pagliaccio (Italy, Version 2.7C)
imago.zip	Imago (cocktail set)
imagoa.zip	Imago (no cocktail set)
imekura.zip	Imekura Mahjong (Japan)
imgfight.zip	Image Fight (Japan, revision A)
imgfighto.zip	Image Fight (Japan)
imolagp.zip	Imola Grand Prix
imsorry.zip	I'm Sorry (315-5110, US)
imsorryj.zip	Gonbee no I'm Sorry (315-5110, Japan)
inca.zip	Inca
indianbt.zip	Indian Battle
indiandr.zip	Indian Dreaming (B - 15/12/98, Local)
indy500.zip	INDY 500 Twin (Revision A, Newer)
indy500d.zip	INDY 500 Deluxe (Revision A)
indy500to.zip	INDY 500 Twin (Revision A)
indyheat.zip	Danny Sullivan's Indy Heat
indytemp.zip	Indiana Jones and the Temple of Doom (set 1)
indytemp2.zip	Indiana Jones and the Temple of Doom (set 2)
indytemp3.zip	Indiana Jones and the Temple of Doom (set 3)
indytemp4.zip	Indiana Jones and the Temple of Doom (set 4)
indytempc.zip	Indiana Jones and the Temple of Doom (Cocktail)
indytempd.zip	Indiana Jones and the Temple of Doom (German)
inferno.zip	Inferno
initd.zip	Initial D Arcade Stage (Rev B) (Japan) (GDS-0020B)
initdexp.zip	Initial D Arcade Stage (Export) (GDS-0025)
inquiztr.zip	Inquizitor
insector.zip	Insector (prototype)
insectx.zip	Insector X (World)
insectxj.zip	Insector X (Japan)
intcup94.zip	International Cup '94 (Ver 2.2O 1994/05/26)
inthunt.zip	In The Hunt (World)
inthuntu.zip	In The Hunt (US)
intlaser.zip	International Team Laser (prototype)
intrepid.zip	Intrepid (set 1)
intrepid2.zip	Intrepid (set 2)
introdon.zip	Karaoke Quiz Intro Don Don! (J 960213 V1.000)
intrscti.zip	Intersecti
intruder.zip	Intruder
inttoote.zip	International Toote (Germany)
inttootea.zip	International Toote II (World?)
inufuku.zip	Quiz _ Variety Sukusuku Inufuku (Japan)
invad2ct.zip	Space Invaders II (Midway, cocktail)
invaddlx.zip	Space Invaders Deluxe
invader4.zip	Space Invaders Part Four
invaderl.zip	Space Invaders (Logitec)
invaders.zip	Space Invaders / Space Invaders M
invadpt2.zip	Space Invaders Part II (Taito)
invadrmr.zip	Space Invaders (Model Racing)
invasion.zip	Invasion (Sidam)
invasiona.zip	Invasion (bootleg, set 1, normal graphics)
invasionb.zip	Invasion (bootleg, set 2, no copyright)
invasionrz.zip	Invasion (bootleg, set 3, R Z SRL Bologna)
invasionrza.zip	Invasion (bootleg, set 4, R Z SRL Bologna)
invasnab.zip	Invasion - The Abductors (version 5.0)
invasnv4.zip	Invasion - The Abductors (version 4.0)
invds.zip	Invinco / Deep Scan
invho2.zip	Invinco / Head On 2
invinco.zip	Invinco
invrvnge.zip	Invader's Revenge
invrvngea.zip	Invader's Revenge (Dutchford)
ipminvad.zip	IPM Invader
ipminvad1.zip	IPM Invader (Incomplete Dump)
ippatsu.zip	Ippatsu Gyakuten [BET] (Japan)
iqblock.zip	IQ-Block
iqblocka.zip	Shu Zi Le Yuan (V127M)
iqblockf.zip	Shu Zi Le Yuan (V113FR)
iqpipe.zip	IQ Pipe
irobot.zip	I, Robot
iron.zip	Iron (SNES bootleg)
ironfort.zip	Iron Fortress
ironfortj.zip	Iron Fortress (Japan)
ironhors.zip	Iron Horse
irrmaze.zip	The Irritating Maze / Ultra Denryu Iraira Bou
island.zip	Island (050713)
island2.zip	Island 2 (060529)
island2a.zip	Island 2 (060529, banking address hack)
islanda.zip	Island (050713, backdoor)
istellar.zip	Interstellar Laser Fantasy
ixion.zip	Ixion (prototype)
jack.zip	Jack the Giantkiller (set 1)
jack2.zip	Jack the Giantkiller (set 2)
jack3.zip	Jack the Giantkiller (set 3)
jackal.zip	Jackal (World)
jackalj.zip	Tokushu Butai Jackal (Japan)
jackie.zip	Happy Jackie (v110U)
jackpool.zip	Jackpot Cards / Jackpot Pool (Italy)
jackrabt.zip	Jack Rabbit (set 1)
jackrabt2.zip	Jack Rabbit (set 2)
jackrabts.zip	Jack Rabbit (special)
jailbrek.zip	Jail Break
jailbrekb.zip	Jail Break (bootleg)
jajamaru.zip	Vs. Ninja Jajamaru Kun (Japan)
jambo.zip	Jambo! Safari (JPN, USA, EXP, KOR, AUS) (Rev A)
janbari.zip	Mahjong Janjan Baribari (Japan)
jangou.zip	Jangou [BET] (Japan)
janjans1.zip	Lovely Pop Mahjong JangJang Shimasho (Japan)
janjans2.zip	Lovely Pop Mahjong JangJang Shimasho 2 (Japan)
janoh.zip	Jan Oh (set 1)
janoha.zip	Jan Oh (set 2)
janptr96.zip	Janputer '96 (Japan)
janputer.zip	New Double Bet Mahjong (Japan)
janshi.zip	Janshi
janshin.zip	Jyanshin Densetsu - Quest of Jongmaster
jansou.zip	Jansou (set 1)
jansoua.zip	Jansou (set 2)
jantotsu.zip	4nin-uchi Mahjong Jantotsu
jantouki.zip	Jong Tou Ki (Japan)
janyoup2.zip	Janyou Part II (ver 7.03, July 1 1983)
jchan.zip	Jackie Chan - The Kung-Fu Master
jchan2.zip	Jackie Chan in Fists of Fire
jclub2.zip	Jockey Club II (newer hardware)
jclub2o.zip	Jockey Club II (older hardware)
jcross.zip	Jumping Cross
jdredd.zip	Judge Dredd (Rev C Dec. 17 1997)
jdreddp.zip	Judge Dredd (rev LA1, prototype)
jedi.zip	Return of the Jedi
jgakuen.zip	Justice Gakuen (Japan 971117)
jigkmgri.zip	Jigoku Meguri (Japan)
jin.zip	Jin
jingbell.zip	Jingle Bell (Italy, V133I)
jingystm.zip	Jingi Storm - The Arcade (GDL-0037)
jitsupro.zip	Jitsuryoku!! Pro Yakyuu (Japan)
jituroku.zip	Jitsuroku Maru-chi Mahjong (Japan)
jjack.zip	Jumping Jack
jjparad2.zip	Jan Jan Paradise 2
jjparads.zip	Jan Jan Paradise
jjpoker.zip	Jackpot Joker Poker (set 1)
jjpokerb.zip	Jackpot Joker Poker (set 2)
jjsquawk.zip	J. J. Squawkers
jjsquawkb.zip	J. J. Squawkers (bootleg)
jkrmast.zip	Joker Master
jleague.zip	The J.League 1994 (Japan)
jmpbreak.zip	Jumping Break
jnero.zip	Johnny Nero Action Hero
jngolady.zip	Jangou Lady (Japan)
jockeyc.zip	Jockey Club
jockeygp.zip	Jockey Grand Prix
joemac.zip	Tatakae Genshizin Joe _ Mac (Japan ver 1)
joemacr.zip	Joe _ Mac Returns (World, Version 1.1, 1994.05.27)
joemacra.zip	Joe _ Mac Returns (World, Version 1.0, 1994.05.19)
jogakuen.zip	Mahjong Jogakuen (Japan)
joinem.zip	Joinem
jojo.zip	JoJo's Venture / JoJo no Kimyouna Bouken (Japan, 990108)
jojoan.zip	JoJo's Venture / JoJo no Kimyouna Bouken (Asia, 981202, NO CD)
jojoba.zip	JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyouna Bouken: Miraie no Isan (Japan, 990913)
jojoban.zip	JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyouna Bouken: Miraie no Isan (Japan, 990913, NO CD)
jojobane.zip	JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyouna Bouken: Miraie no Isan (Euro, 990913, NO CD)
jojon.zip	JoJo's Venture / JoJo no Kimyouna Bouken (Asia, 990108, NO CD)
jokercrd.zip	Joker Card (Ver.A267BC, encrypted)
jokpoker.zip	Joker Poker (Version 16.03B)
jokpokera.zip	Joker Poker (Version 16.03BI)
jokpokerb.zip	Joker Poker (Version 16.04BI 10-19-88, Joker Poker ICB 9-30-86)
jokpokerc.zip	Joker Poker (Version 16.03BI 5-10-85, Poker No Raise ICB 9-30-86)
jokrwild.zip	Joker's Wild (encrypted)
jollycrd.zip	Jolly Card (Austrian)
jollyjgr.zip	Jolly Jogger
jolyc3x3.zip	Jolly Card (3x3 deal)
jolyc980.zip	Jolly Card Professional 2.0 (Spale Soft)
jolyccra.zip	Jolly Card (Croatian, set 1)
jolyccrb.zip	Jolly Card (Croatian, set 2)
jolycdab.zip	Jolly Card (Austrian, Funworld, bootleg)
jolycdat.zip	Jolly Card (Austrian, Funworld)
jolycdev.zip	Jolly Card (Evona Electronic)
jolycdib.zip	Jolly Card (Italian, encrypted bootleg)
jolycdit.zip	Jolly Card (Italian, blue TAB board, encrypted)
jolycmzs.zip	Jolly Card Professional 2.0 (MZS Tech)
jolyjokr.zip	Jolly Joker (98bet, set 1)
jolyjokra.zip	Jolly Joker (98bet, set 2)
jolyjokrb.zip	Jolly Joker (40bet, Croatian hack)
jongbou.zip	Mahjong Block Jongbou (Japan)
jongkyo.zip	Jongkyo
jongtei.zip	Mahjong Jong-Tei (Japan, ver. NM532-01)
