005.zip	005
act2000v1.zip	Action 2000 (Version 3.5R Dual)
act2000vx.zip	Action 2000 (Version 3.30XT Dual)
actfancr.zip	Act-Fancer Cybernetick Hyper Weapon (World revision 2)
actfancr1.zip	Act-Fancer Cybernetick Hyper Weapon (World revision 1)
actfancrj.zip	Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)
actionhw.zip	Action Hollywood
ad2083.zip	A. D. 2083
adders.zip	Adders and Ladders (v2.0)
adonis.zip	Adonis (A - 25-05-98, NSW/ACT)
aerfboo2.zip	Aero Fighters (bootleg set 2)
aerfboot.zip	Aero Fighters (bootleg set 1)
aeroboto.zip	Aeroboto
aerofgt.zip	Aero Fighters
aerofgtb.zip	Aero Fighters (Turbo Force hardware set 1)
aerofgtc.zip	Aero Fighters (Turbo Force hardware set 2)
aerofgts.zip	Aero Fighters Special (Taiwan)
afighter.zip	Action Fighter (FD1089A 317-0018)
afire.zip	Astro Fire
agallet.zip	Air Gallet (Europe)
agalleth.zip	Air Gallet (Hong Kong)
agalletj.zip	Air Gallet (Japan)
agalletk.zip	Air Gallet (Korea)
agallett.zip	Air Gallet (Taiwan)
agalletu.zip	Air Gallet (USA)
agentx1.zip	Agent X (prototype, rev 1)
agentx2.zip	Agent X (prototype, rev 2)
agentx3.zip	Agent X (prototype, rev 3)
agentx4.zip	Agent X (prototype, rev 4)
agress.zip	Agress
agressb.zip	Agress (English bootleg)
ainferno.zip	Air Inferno (US)
airattck.zip	Air Attack (set 1)
airattcka.zip	Air Attack (set 2)
airbustr.zip	Air Buster: Trouble Specialty Raid Unit (World)
airbustrb.zip	Air Buster: Trouble Specialty Raid Unit (bootleg)
airbustrj.zip	Air Buster: Trouble Specialty Raid Unit (Japan)
airco22b.zip	Air Combat 22 (Rev. ACS1 Ver.B, Japan)
aircomb.zip	Air Combat (US)
aircombj.zip	Air Combat (Japan)
airduel.zip	Air Duel (Japan)
airraid.zip	Air Raid (encrypted)
airtrix.zip	Air Trix
airwolf.zip	Airwolf
airwolfa.zip	Airwolf (US)
ajax.zip	Ajax
ajaxj.zip	Ajax (Japan)
akamaru.zip	Panel _ Variety Akamaru Q Jousyou Dont-R
akiss.zip	Mahjong Angel Kiss
akkanvdr.zip	Akkanbeder (Ver 2.5J 1995/06/14)
aladbl.zip	Aladdin (bootleg of Japanese Megadrive version)
alcon.zip	Alcon (US)
alexkidd.zip	Alex Kidd: The Lost Stars (set 2, unprotected)
alexkidd1.zip	Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021)
alibaba.zip	Ali Baba and 40 Thieves
alien3.zip	Alien3: The Gun (World)
alien3u.zip	Alien3: The Gun (US)
alienar.zip	Alien Arena
alienaru.zip	Alien Arena (Stargate Upgrade)
aliencha.zip	Alien Challenge (World)
alienchac.zip	Alien Challenge (China)
alieninv.zip	Alien Invasion
alieninvp2.zip	Alien Invasion Part II
aliens.zip	Aliens (World set 1)
aliens2.zip	Aliens (World set 2)
aliens3.zip	Aliens (World set 3)
aliensa.zip	Aliens (Asia)
aliensec.zip	Alien Sector
aliensj.zip	Aliens (Japan set 1)
aliensj2.zip	Aliens (Japan set 2)
aliensu.zip	Aliens (US)
aliensyn.zip	Alien Syndrome (set 4, System 16B, unprotected)
aliensyn2.zip	Alien Syndrome (set 2, System 16A, FD1089A 317-0033)
aliensyn3.zip	Alien Syndrome (set 3, System 16B, FD1089A 317-0033)
aliensyn5.zip	Alien Syndrome (set 5, System 16A, FD1089B 317-0037)
aliensynj.zip	Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)
aliensynjo.zip	Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)
aligator.zip	Alligator Hunt
aligatorun.zip	Alligator Hunt (unprotected)
alleymas.zip	Alley Master
alpha1v.zip	Alpha One (Vision Electronics / Kyle Hodgetts)
alphaho.zip	Alpha Fighter / Head On
alpham2.zip	Alpha Mission II / ASO II - Last Guardian
alphamis.zip	Alpha Mission
alphaone.zip	Alpha One (prototype, 3 lives)
alphaonea.zip	Alpha One (prototype, 5 lives)
alphaxz.zip	The Alphax Z (Japan)
alpilota.zip	Airline Pilots (Rev A)
alpiltdx.zip	Airline Pilots Deluxe (Rev B)
alpine.zip	Alpine Ski (set 1)
alpinea.zip	Alpine Ski (set 2)
alpinerc.zip	Alpine Racer (Rev. AR2 Ver.C)
alpinerd.zip	Alpine Racer (Rev. AR2 Ver.D)
alpinesa.zip	Alpine Surfer (Rev. AF2 Ver.A)
alpinr2a.zip	Alpine Racer 2 (Rev. ARS2 Ver.A)
alpinr2b.zip	Alpine Racer 2 (Rev. ARS2 Ver.B)
altair.zip	Altair
altbeast.zip	Altered Beast (set 8, 8751 317-0078)
altbeast2.zip	Altered Beast (set 2, MC-8123B 317-0066)
altbeast4.zip	Altered Beast (set 4, MC-8123B 317-0066)
altbeast5.zip	Altered Beast (set 6, 8751 317-0076)
altbeastj.zip	Juuouki (set 7, Japan, 8751 317-0077)
altbeastj1.zip	Juuouki (set 1, Japan, FD1094 317-0065)
altbeastj2.zip	Juuouki (set 5, Japan, FD1094 317-0069)
altbeastj3.zip	Juuouki (set 3, Japan, FD1094 317-0068)
am_mg24.zip	Multi Game I (V.Ger 2.4)
am_mg3.zip	Multi Game III (V.Ger 3.5)
am_uslot.zip	Amatic Unknown Slots Game
