platform,path,display_name,emulator_command,extension
apple2gs,archive:tosec-main/Apple/IIGS/Games/[2MG],2MG,mame apple2gs -flop3,
apple2gs,archive:tosec-main/Apple/IIGS/Educational/[2MG],Edu,mame apple2gs -flop3,
apple2gs,archive:tosec-main/Apple/IIGS/Applications/[2MG],App,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_clcracked.zip,Cracked MAME,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_misc.zip,Misc MAME,mame apple2gs -flop3,
apple2gs,archive:mame-sl/mame-sl/apple2gs_flop_orig.zip,Orig MAME,mame apple2gs -flop3,
apple3,archive:tosec-main/Apple/III/Games,TOSEC,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Applications/[DSK],App DSK,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Applications/[PO],App PO,mame apple3 -flop1,
apple3,archive:tosec-main/Apple/III/Collections/WAP III SIG Public Domain Library,WAP PD,mame apple3 -flop1,
apple3,archive:mame-sl/mame-sl/apple3.zip,MAME,mame apple3 -flop1,
lisa,archive:tosec-main/Apple/Lisa/Applications/[IMAGE],App IMAGE,mame lisa -flop1,
lisa,archive:tosec-main/Apple/Lisa/Applications/[A2R],App A2R,mame lisa -flop1,
lisa,archive:mame-sl/mame-sl/lisa.zip,MAME,mame lisa -flop1,
macintosh,archive:mame-sl/mame-sl/mac_flop.zip,Flop MAME,mame macse -flop1,
macintosh,archive:mame-sl/mame-sl/mac_flop_orig.zip,Orig MAME,mame macse -flop1,
macintosh,archive:mame-sl/mame-sl/mac_flop_clcracked.zip,Cracked MAME,mame macse -flop1,
macintosh,archive:mame-sl/mame-sl/mac_hdflop.zip,HDflop MAME,mame macse -flop1,
macintosh,archive:mame-software-list-chds-2/mac_hdd,HDD CHD,mame macse -hard,
macintosh,archive:tosec-main/Apple/Macintosh/Games/[DSK],TOSEC DSK,mame macse -flop1,
macintosh,archive:tosec-main/Apple/Macintosh/Games/[IMG],TOSEC IMG,mame macse -flop1,
channelf,archive:ni-roms/roms/Fairchild - Channel F.zip,NoIntro,freechaf_libretro,
channelf,archive:tosec-main/Fairchild/VES & Channel F/Games,TOSEC,freechaf_libretro,
channelf,archive:mame-sl/mame-sl/channelf.zip,MAME,mame channelf -cart,
vectrex,archive:ni-roms/roms/GCE - Vectrex.zip,NoIntro,vecx_libretro,
vectrex,archive:tosec-main/GCE/Vectrex/Games,TOSEC,vecx_libretro,
vectrex,archive:mame-sl/mame-sl/vectrex.zip,MAME,mame vectrex -cart,
o2em,archive:ni-roms/roms/Magnavox - Odyssey 2.zip,NoIntro,o2em_libretro,
o2em,archive:tosec-main/Magnavox/Odyssey2/Games,TOSEC,o2em_libretro,
o2em,archive:mame-sl/mame-sl/videopac.zip,MAME,mame videopac -cart,
videopacplus,archive:ni-roms/roms/Philips - Videopac+.zip,NoIntro,o2em_libretro,
videopacplus,archive:tosec-main/Philips/Videopac+/Games,TOSEC,o2em_libretro,
intellivision,archive:ni-roms/roms/Mattel - Intellivision.zip,NoIntro,freeintv_libretro,
intellivision,archive:tosec-main/Mattel/Intellivision/Games/[BIN],TOSEC,freeintv_libretro,
intellivision,archive:mame-sl/mame-sl/intv.zip,MAME,mame intv -cart,
intellivision,archive:mame-sl/mame-sl/intvecs.zip,ECS MAME,mame intvecs -cart,
colecovision,archive:ni-roms/roms/Coleco - ColecoVision.zip,NoIntro,gearcoleco_libretro,
colecovision,archive:tosec-main/Coleco/ColecoVision/Games,TOSEC,gearcoleco_libretro,
colecovision,archive:mame-sl/mame-sl/coleco.zip,MAME,mame coleco -cart,
colecovision,archive:mame-sl/mame-sl/coleco_homebrew.zip,Homebrew MAME,mame coleco -cart,
adam,archive:tosec-main/Coleco/ColecoVision ADAM/Games/[DSK],TOSEC,mame adam -flop1,
adam,archive:tosec-main/Coleco/ColecoVision ADAM/Applications/[DSK],App,mame adam -flop1,
adam,archive:mame-sl/mame-sl/adam_flop.zip,MAME,mame adam -flop1,
adam,archive:mame-sl/mame-sl/adam_cass.zip,Cass MAME,mame adam -cass,
adam,archive:mame-sl/mame-sl/adam_cart.zip,Cart MAME,mame adam -cart1,
cassettevision,MAME/Software List ROMs (merged)/cassvisn_cart,MAME,mame cassvisn,
scv,archive:ni-roms/roms/Epoch - Super Cassette Vision.zip,NoIntro,emuscv_libretro,
scv,archive:tosec-main/Epoch/Super Cassette Vision/Games,TOSEC,emuscv_libretro,
scv,archive:mame-sl/mame-sl/scv.zip,MAME,mame scv -cart,
ctvboy,archive:mame-sl/mame-sl/ctvboy.zip,MAME,mame ctvboy -cart,
gamepock,archive:ni-roms/roms/Epoch - Game Pocket Computer.zip,NoIntro,mame gamepock -cart,
gamepock,archive:mame-sl/mame-sl/gamepock.zip,MAME,mame gamepock -cart,
supervision,archive:ni-roms/roms/Watara - Supervision.zip,NoIntro,potator_libretro,
supervision,archive:tosec-main/Watara/Supervision/Games,TOSEC,potator_libretro,
