platform,display_name,thumbnail
osborne1,Osborne 1,Osborne - 1
jupace,Jupiter Ace,MAME
nascom,Nascom,MAME
abc80,Luxor ABC 80,MAME
zorba,Zorba,MAME
kaypro,Kaypro,MAME
galaxy,Galaksija,Galaksija
special,Specialist,MAME
apogee,Apogee BK-01,Apogee - BK-01
radio86,Radio-86RK,Radio-86RK
mikrosha,Mikrosha,Mikrosha
partner,Partner-01.01,MAME
korvet,Korvet,MAME
,Computers up to 8 colors,
atom,Acorn Atom,Acorn - Atom
interact,Interact Family Computer,MAME
spc1000,Samsung SPC-1000,Samsung - SPC-1000
cgenie,EACA Colour Genie,EACA - EG2000 Colour Genie
dragon64,Dragon 32/64,Dragon - Dragon 64
oric,Oric Atmos,Tangerine - Oric Atmos
camplynx,Camputers Lynx,Camputers - Lynx
orao,Orao,MAME
vg5k,Philips VG-5000,MAME
pegasus,Pegasus,MAME
juku,Juku,MAME
x07,Canon X-07,MAME
alice,Matra Alice,MAME
mc10,Tandy MC-10,Tandy - MC-10
phc25,Sanyo PHC-25,MAME
laser310,VTech Laser,VTech - Laser 310
bk,Elektronika BK,Elektronika - BK
pmd85,Tesla PMD 85,Tesla - PMD 85
lviv,Lviv PK-01,Lviv - PK-01
mc1000,CCE MC-1000,MAME
pecom64,Ei Pecom 64,Pecom - 64
spc1500,Samsung SPC-1500,Samsung - SPC-1500
orion128,Orion 128,Orion - 128
,Computers with 16 colors,
videobrain,VideoBrain FamilyComputer,VideoBrain - FamilyComputer
super80,Dick Smith Super-80,MAME
bbcmicro,Acorn BBC,Acorn - BBC
ti99,Texas Instruments TI-99/4A,Texas Instruments - TI-99
mbee,MicroBee,Applied Technology - MicroBee
m5,Sord M5,Sord - M5
aquarius,Mattel Aquarius,Mattel - Aquarius
adam,Coleco Adam,Coleco - Adam
spectravideo,Spectravideo SV-318/SV-328,Spectravideo - SVI-318 - SVI-328
mtx,Memotech MTX,Memotech - MTX512
pencil2,Hanimex Pencil II,MAME
electron,Acorn Electron,Acorn - Electron
tutor,Tomy Tutor,Tomy - Tutor
exl100,Exel EXL 100,MAME
compclr2,Compucolor II,MAME
z88,Cambridge Z88,MAME
myvision,Nichibutsu My Vision,Nichibutsu - My Vision
einstein,Tatung Einstein,Tatung - Einstein
kc85,Robotron KC 85,MAME
tvc,Videoton TV Computer,Enterprise - Enterprise
,Computers with extended palette,
rx78,Bandai RX-78,Bandai - Gundam RX-78
coco,Tandy TRS-80 Color Computer,Tandy - TRS-80 Color Computer
samcoupe,SAM Coupé,MGT - Sam Coupe
enterprise,Enterprise 64/128,Enterprise - Enterprise
vector06,Vector-06C,Vector-06C
socrates,VTech Socrates,VTech - Socrates
thomson,Thomson MO/TO,Thomson - MOTO
rainbow,DEC Rainbow 100,MAME
tiki100,Tiki 100,MAME
pro128,Olivetti Prodest PC 128,Olivetti - Prodest PC 128
pro128s,Olivetti Prodest PC 128S,Olivetti - Prodest PC 128S
archimedes,Acorn Archimedes,Acorn - Archimedes
,NEC & Fujitsu,
pc60,NEC PC-6000,NEC - PC-6000 - PC-6001
pc80,NEC PC-8000,NEC - PC-8001 - PC-8801
pc88,NEC PC-8800,NEC - PC-8001 - PC-8801
pc98,NEC PC-9800,NEC - PC-98
pcengine,NEC PC Engine 1,NEC - PC Engine - TurboGrafx 16
supergrafx,NEC PC Engine 2,NEC - PC Engine SuperGrafx
pcenginecd,NEC PC Engine CD,NEC - PC Engine CD - TurboGrafx-CD
pc88va,NEC PC-88VA,NEC - PC-8001 - PC-8801
apc,NEC APC,NEC - APC
pcfx,NEC PC-FX,NEC - PC-FX
fm7,Fujitsu Micro 7,Fujitsu - Micro 7
fmtowns,Fujitsu FM Towns,Fujitsu - FM Towns
,Sharp & Casio,
x1,Sharp X1,Sharp - X1
x68000,Sharp X68000,Sharp - X68000
mz80k,Sharp MZ-80K,Sharp - MZ-80K
mz700,Sharp MZ-700,Sharp - MZ-700
mz800,Sharp MZ-800,Sharp - MZ-800
mz2000,Sharp MZ-2000,Sharp - MZ-2000
mz2500,Sharp MZ-2500,Sharp - MZ-2500
pv1000,Casio PV-1000,Casio - PV-1000
pv2000,Casio PV-2000,Casio - PV-2000
loopy,Casio Loopy,Casio - Loopy
,Multimedia,
amigacdtv,Commodore Amiga CDTV,Commodore - CDTV
cdi,Philips CD-i,Philips - CD-i
3do,Panasonic 3DO,The 3DO Company - 3DO
vis,Video Information System,Tandy - Video Information System
,Arcade,
mame,MAME,MAME
vgmplay,VGMPlay,MAME
fbneo,FinalBurn Neo,MAME
neogeo,SNK Neo Geo AES,SNK - Neo Geo
neogeocd,SNK Neo Geo CD,SNK - Neo Geo CD
ngp,SNK Neo Geo Pocket,SNK - Neo Geo Pocket
ngpc,SNK Neo Geo Pocket Color,SNK - Neo Geo Pocket Color
,Portable & mobile consoles,
gamepock,Epoch Game Pocket Computer,Epoch - Game Pocket Computer
supervision,Watara Supervision,Watara - Supervision
wonderswan,Bandai WonderSwan,Bandai - WonderSwan
wonderswancolor,Bandai WonderSwan Color,Bandai - WonderSwan Color
megaduck,Welback Mega Duck,Welback - Mega Duck
microvision,Milton Bradley Microvision,Milton Bradley - Microvision
gamate,Bitcorp Gamate,Bitcorp - Gamate
pockchalw,Bandai Pocket Challenge W,Bandai - Pocket Challenge W
juicebox,Mattel Juice Box,MAME
gmaster,Hartung Game Master,Hartung - Game Master
gamecom,Tiger Game.com,Tiger - Game.com
gp32,GamePark GP32,GamePark - GP32
advision,Adventure Vision,Entex - Adventure Vision
mononcolor,M&D Monon Color,M&D - Monon Color
gameking,TimeTop GameKing,TimeTop - GameKing
gameking3,TimeTop GameKing 3,TimeTop - GameKing 3
j2me,Java ME (J2ME),Mobile - J2ME
palm,Palm OS,Mobile - Palm OS (Digital)
